task_id,photo_id,photo_type,segment_num,segment_type,segment_value
c6a24494_7931_4ca9_a148_f1fd9785b607,1012473,УФ,0,Свечение,Насыщенное
c6a24494_7931_4ca9_a148_f1fd9785b607,1012473,УФ,1,Свечение,Отсутствует
cfb8e7b2_7c98_4bd4_897d_0e5e95801bc9,1016625,УФ,0,Свечение,Карбонатное
a9d8f546_9046_46ce_ba17_abda344a0980,1013361,УФ,0,Свечение,Карбонатное
eb09a8aa_6c77_41de_8489_f5a390c789e8,1016727,УФ,0,Свечение,Карбонатное
d9d6afc4_a213_4ae7_b86f_05d6c99457ef,1003985,УФ,0,Свечение,Карбонатное
d9d6afc4_a213_4ae7_b86f_05d6c99457ef,1003985,УФ,1,Свечение,Отсутствует
d9d6afc4_a213_4ae7_b86f_05d6c99457ef,1003985,УФ,2,Свечение,Карбонатное
e81388bd_c9f5_4164_9035_984ee3630ae5,1015963,УФ,0,Свечение,Отсутствует
e8f67b1c_6869_4148_9b90_f785374027dd,1014063,УФ,0,Свечение,Карбонатное
e8f67b1c_6869_4148_9b90_f785374027dd,1014063,УФ,1,Свечение,Насыщенное
5cdaca5f_3211_4289_84ba_ddecba591c78,1000451,УФ,0,Свечение,Отсутствует
ec614e36_c200_479d_8074_bde895a0a6dc,1008063,УФ,0,Свечение,Отсутствует
f32f25a4_91e1_41eb_b809_89c929206952,1010519,УФ,0,Свечение,Карбонатное
565a7ed3_d7c1_489e_b18f_99437702745f,1013439,УФ,0,Свечение,Карбонатное
565a7ed3_d7c1_489e_b18f_99437702745f,1013439,УФ,1,Свечение,Отсутствует
565a7ed3_d7c1_489e_b18f_99437702745f,1013439,УФ,2,Свечение,Карбонатное
d22481df_15e5_49f6_b058_0b20547ed84e,1000447,УФ,0,Свечение,Отсутствует
b9eac002_e553_4e62_8b4a_573e316de2f1,1008147,УФ,0,Свечение,Отсутствует
b9eac002_e553_4e62_8b4a_573e316de2f1,1008147,УФ,1,Свечение,Карбонатное
bbfd52a9_7f7b_4ea2_803b_c782a8a745c0,1010249,УФ,0,Свечение,Отсутствует
